"Manufacturer","Model","AcqOffset","AssetTag","SerialNumber"
"Vendor2","8500","-1361","2567666","806-848079"
"Vendor1","4000","-1201","5371068","166-799426"
"Vendor1","9700","-1345","6695866","215-171678"
"Vendor2","9100","-680","5836477","676-952055"
"Vendor1","1100","-787","6701166","829-472944"
"Vendor1","3600","-1042","4751977","251-906362"
"Vendor1","8900","-359","3603330","868-699621"
"Vendor1","1800","-1932","9740645","526-738172"
"Vendor3","9400","-1286","4544872","625-253711"
"Vendor3","3500","-1973","6560896","573-506527"
"Vendor3","6400","-452","4225831","224-640475"
"Vendor2","7700","-577","4844235","919-922913"
"Vendor2","3800","-693","9475350","356-684542"
"Vendor2","3800","-1294","6888096","530-307380"
"Vendor3","5900","-1380","4532192","104-770504"
"Vendor3","7500","-838","1408490","543-910104"
"Vendor1","6200","-110","7666483","208-781784"
"Vendor3","3600","-1026","8446238","599-739384"
"Vendor1","6400","-1662","9772959","260-703155"
"Vendor1","2000","-1575","8440286","120-267905"
"Vendor2","3200","-1261","2521588","627-380305"
"Vendor3","8600","-648","9738395","205-652217"
"Vendor2","3300","-712","3619440","775-407702"
"Vendor1","8100","-436","5499599","946-368794"
"Vendor3","1000","-897","7375330","668-344788"
"Vendor2","3900","-1650","6951747","776-268200"
"Vendor1","1100","-1226","8770526","311-513292"
"Vendor2","9700","-283","1131127","850-150596"
"Vendor3","5000","-1505","5545232","407-519989"
"Vendor1","3600","-1765","7233863","917-279274"
"Vendor3","7100","-1032","1595540","712-585718"
"Vendor2","8000","-1352","3231702","240-845051"
"Vendor2","5500","-1751","6343713","960-171000"
"Vendor3","7000","-30","1778981","733-637940"
"Vendor2","4000","-1101","1283727","515-889328"
"Vendor1","3800","-1787","9967635","282-292354"
"Vendor3","5200","-92","1939709","101-987999"
"Vendor1","3600","-1087","8595161","885-162910"
"Vendor2","6400","-451","6198841","290-626336"
"Vendor1","1100","-1785","5919201","794-772150"
"Vendor1","7400","-414","4739668","413-601952"
"Vendor1","9600","-1606","2384119","583-125941"
"Vendor1","9500","-501","4802644","998-826252"
"Vendor2","3700","-1742","5922918","443-719333"
"Vendor3","3000","-912","4031222","633-799933"
"Vendor2","3000","-1110","7593224","530-164974"
"Vendor3","9800","-228","8820309","819-808585"
"Vendor1","9400","-1378","9548316","364-555721"
"Vendor3","8100","-158","8739560","405-161426"
"Vendor2","9200","-1475","8545757","423-693218"
"Vendor2","9800","-1741","6565541","611-242488"
"Vendor2","4700","-542","8417292","509-880945"
"Vendor1","5800","-782","3503058","414-983684"
"Vendor1","3800","-484","6988806","232-482572"
"Vendor2","3000","-40","3093671","664-277202"
"Vendor1","5400","-1425","7647549","468-582919"
"Vendor1","3200","-1423","6586473","191-567672"
"Vendor2","8000","-1731","4578327","314-486376"
"Vendor2","4200","-1776","8771958","493-148561"
"Vendor1","1700","-1248","4046121","637-969171"
"Vendor2","7100","-582","5995024","893-324157"
"Vendor2","9200","-966","5085997","851-291918"
"Vendor2","6700","-1552","2145985","738-194644"
"Vendor1","9000","-1507","4694209","144-423270"
"Vendor2","4000","-412","2116167","230-534982"
"Vendor1","2800","-1068","8852633","359-144704"
"Vendor3","1400","-561","4927940","451-772707"
"Vendor3","3700","-654","1526403","651-273744"
"Vendor2","6700","-1753","3062742","465-130165"
"Vendor2","8300","-1980","5288727","253-885172"
"Vendor1","4400","-1664","7166130","561-997285"
"Vendor2","1700","-275","4368054","898-311073"
