"Manufacturer","Model","AcqOffset","AssetTag","SerialNumber"
"Vendor3","5200","-1696","6027318","734-770626"
"Vendor3","2500","-41","2741460","774-926828"
"Vendor3","2200","-1813","4651026","163-115557"
"Vendor3","2700","-692","8190282","523-617365"
"Vendor1","6700","-286","2156699","334-893297"
"Vendor3","1100","-1280","2168785","477-612121"
"Vendor1","5600","-1276","4993941","681-450752"
"Vendor2","9500","-265","4101014","915-202649"
"Vendor2","5500","-1338","2541561","955-445523"
"Vendor2","1700","-1458","5276222","480-719486"
"Vendor1","3900","-1754","6017015","863-375641"
"Vendor2","1500","-1960","5542858","594-552256"
"Vendor1","6900","-647","9847990","120-110337"
"Vendor2","9600","-516","7618011","197-610209"
"Vendor2","6500","-1490","7137753","314-779850"
"Vendor3","8000","-1840","4129655","478-821967"
"Vendor2","7000","-1783","7676558","917-910962"
"Vendor2","5800","-120","6644026","222-973482"
"Vendor2","3100","-1593","5729376","324-784964"
"Vendor1","5300","-1279","1946259","769-291699"
"Vendor3","1600","-186","7058033","366-923376"
"Vendor2","2000","-1911","7127358","597-564071"
"Vendor1","5900","-1405","8999172","906-420888"
"Vendor1","6000","-1560","1969511","932-844451"
"Vendor3","2100","-69","5530475","130-339399"
"Vendor1","3600","-1110","2713142","922-257029"
"Vendor2","9000","-1606","6292524","516-433926"
"Vendor3","2300","-1496","8246289","211-319272"
"Vendor2","8700","-710","3368760","512-805967"
"Vendor2","2200","-1034","4194930","791-840050"
"Vendor1","3900","-727","2792118","808-572876"
"Vendor2","9700","-1083","7136782","742-965993"
"Vendor3","8600","-1677","8243218","145-187412"
"Vendor3","5000","-764","7970560","840-161736"
"Vendor3","6700","-1910","3984533","985-287946"
"Vendor3","8000","-522","2875514","551-160982"
"Vendor1","2500","-1010","5249715","221-241314"
"Vendor3","7600","-1763","3632294","564-397291"
"Vendor2","3300","-1846","5839367","955-147906"
"Vendor1","5100","-10","9314826","752-503562"
"Vendor2","6300","-1033","3099667","943-327592"
"Vendor3","3700","-1089","4146180","738-779399"
"Vendor1","9300","-517","7019398","391-776070"
"Vendor2","8800","-695","8842339","756-486463"
"Vendor3","7700","-1212","6394902","720-467222"
"Vendor2","7300","-806","5631821","510-978416"
"Vendor2","5100","-1473","7282898","517-328400"
"Vendor3","4000","-1139","8007052","378-372089"
"Vendor2","3000","-734","7409295","334-687455"
"Vendor1","3500","-1600","9148559","760-544021"
"Vendor2","8200","-1699","6847397","653-693942"
"Vendor2","9600","-1123","4908106","288-202394"
"Vendor1","5500","-1772","7221583","521-519492"
"Vendor1","9100","-1337","4789147","260-843983"
"Vendor3","5600","-1222","1573355","260-763124"
"Vendor3","5100","-272","1709908","745-422560"
"Vendor2","4900","-1095","5246396","709-391569"
"Vendor3","5500","-207","7372725","437-533239"
"Vendor2","4400","-1855","6361224","775-135331"
"Vendor2","8200","-1103","8355436","691-534918"
"Vendor2","2900","-521","1367736","182-869036"
"Vendor1","1400","-1299","9078545","683-695632"
"Vendor1","5300","-315","3036319","533-235691"
"Vendor2","1800","-1722","8295030","611-990972"
"Vendor1","1100","-545","8109571","303-413677"
"Vendor2","4000","-515","5606768","609-805138"
"Vendor3","3400","-282","6079944","686-402800"
"Vendor2","7200","-1558","4778886","687-205229"
"Vendor1","1400","-1954","9699830","783-984315"
"Vendor1","9700","-771","5244508","529-995112"
"Vendor1","9700","-255","2174379","845-746969"
"Vendor1","2000","-1157","6587958","275-691021"
"Vendor1","9300","-94","3768023","444-411437"
"Vendor1","4900","-1399","6605341","239-728477"
"Vendor3","7000","-966","5863146","536-903739"
"Vendor1","4400","-1201","1909061","334-604884"
"Vendor3","7500","-1943","3149249","342-322672"
"Vendor3","2000","-1332","9865791","519-521055"
"Vendor3","3700","-588","8190739","814-275790"
"Vendor3","7000","-1569","3861064","361-207481"
"Vendor3","7100","-622","5473332","293-187364"
"Vendor1","1400","-1467","3879086","842-176125"
"Vendor1","2600","-237","3248355","203-225503"
"Vendor3","7000","-1201","7730101","767-282857"
"Vendor3","7200","-1643","5998156","233-549275"
"Vendor1","1500","-1032","2839782","471-674903"
"Vendor2","4100","-1893","9377469","604-171801"
"Vendor3","1900","-147","5579078","866-154226"
"Vendor3","4600","-1249","7763811","716-804415"
"Vendor1","5300","-1686","9623154","373-848350"
"Vendor2","5600","-1754","3881121","954-406774"
"Vendor1","9600","-1438","9121116","718-618188"
"Vendor2","9700","-159","2218779","437-659675"
"Vendor2","5100","-1973","7349686","651-671129"
"Vendor1","3800","-278","9986100","464-469740"
"Vendor3","4300","-246","8470404","605-993006"
"Vendor2","4400","-1766","7333256","344-819214"
"Vendor1","3700","-1569","9988274","341-697576"
"Vendor1","1700","-289","1109050","395-115331"
"Vendor3","7000","-122","9872902","163-539677"
"Vendor2","1000","-963","6257786","598-493050"
"Vendor1","4600","-1241","9552462","608-509274"
"Vendor2","5500","-490","6079720","873-642723"
"Vendor3","8400","-1701","9983340","234-512606"
"Vendor2","7300","-745","7153052","941-482441"
"Vendor3","5400","-629","5132164","338-540466"
"Vendor3","4900","-614","1456707","238-177966"
"Vendor2","2900","-888","9833210","368-770544"
"Vendor1","2000","-745","9452111","531-137134"
"Vendor2","7100","-357","3229661","683-278938"
"Vendor3","7300","-1656","1224955","962-781124"
"Vendor3","5100","-705","5270292","105-719638"
"Vendor2","5100","-1479","6819946","116-298458"
"Vendor3","7400","-608","6740031","564-332062"
"Vendor1","8100","-805","5467598","671-722333"
"Vendor2","9800","-1208","9290255","926-339135"
"Vendor1","3800","-144","3112859","578-607401"
"Vendor1","8200","-943","2049862","390-439179"
"Vendor2","4400","-914","3802676","659-485823"
"Vendor2","1800","-1793","2088096","407-665202"
"Vendor3","7900","-810","9387866","916-545994"
"Vendor3","5200","-735","3730262","354-773094"
"Vendor1","2900","-1254","6520072","829-888440"
"Vendor3","5500","-509","4737689","238-843570"
"Vendor3","3200","-342","4066770","378-951517"
"Vendor3","5200","-365","7528505","705-953433"
"Vendor2","3400","-1000","2635937","333-214542"
"Vendor2","8000","-1381","4430996","470-903503"
"Vendor2","5400","-43","9904788","628-689243"
"Vendor1","2000","-1074","9536790","712-588068"
"Vendor3","1900","-1496","4176034","693-646956"
"Vendor2","6500","-399","2202887","589-581252"
"Vendor2","1300","-1767","5812413","849-616968"
"Vendor1","6500","-1447","6844904","216-919154"
"Vendor1","3100","-1217","3425907","265-732080"
"Vendor3","1600","-1404","7699705","940-879034"
"Vendor3","7300","-181","8190184","391-564078"
"Vendor3","9500","-1545","8569108","350-273394"
"Vendor3","1100","-892","6953253","839-167993"
"Vendor3","6700","-715","4266044","755-801102"
"Vendor1","2800","-1226","9372947","123-973380"
"Vendor3","3500","-227","6548822","937-344522"
"Vendor2","8700","-860","6967389","715-279935"
"Vendor2","4600","-1170","4723239","404-573921"
"Vendor2","9100","-1161","9493540","949-334042"
"Vendor1","8700","-1010","7181511","288-840255"
"Vendor1","1900","-1584","7424867","411-939491"
"Vendor3","9300","-1666","4669514","672-692784"
"Vendor1","4200","-356","6378636","792-585279"
"Vendor3","8100","-526","2877549","690-540989"
"Vendor1","3600","-1620","9503118","623-341447"
"Vendor1","3200","-11","1855754","659-134896"
"Vendor2","8700","-365","6506762","491-639365"
"Vendor1","1600","-1085","9335969","153-112122"
"Vendor1","7100","-1178","9503607","301-342508"
"Vendor1","4800","-830","3031304","540-969361"
"Vendor1","8800","-1710","8565552","542-658874"
"Vendor3","4400","-1562","8743949","350-108823"
"Vendor2","4500","-948","9937302","555-652470"
"Vendor2","8200","-700","4289060","650-873477"
"Vendor1","5500","-1911","7756277","368-189397"
"Vendor2","1600","-1870","5785090","157-919085"
"Vendor2","9300","-1643","9802144","190-211126"
"Vendor3","2700","-101","3309986","242-769661"
"Vendor2","3600","-1635","1037380","473-700550"
"Vendor2","7100","-711","3874651","320-695794"
"Vendor2","3300","-37","5756037","962-842348"
"Vendor3","2200","-1881","1314311","318-634573"
"Vendor3","7800","-1656","8500528","940-262269"
"Vendor1","5400","-720","5767600","902-444146"
"Vendor3","1400","-1921","1043845","504-410896"
"Vendor1","2600","-419","3313500","399-374966"
"Vendor2","1000","-1315","8019901","230-705223"
"Vendor3","9100","-539","7925541","589-323573"
"Vendor1","2300","-223","4670238","346-520295"
"Vendor1","5900","-73","2677716","284-344235"
"Vendor2","5000","-1220","6310016","549-920763"
"Vendor3","3200","-36","8849460","166-116482"
"Vendor2","8900","-694","2886204","888-672163"
"Vendor3","5100","-180","7345319","261-155753"
"Vendor1","3600","-729","4441925","246-697021"
"Vendor2","8100","-792","4643898","867-556959"
"Vendor1","4300","-1524","8725588","614-336567"
"Vendor1","6300","-831","6990337","771-663107"
"Vendor1","2700","-509","3633655","723-936964"
"Vendor3","3100","-1109","9328234","773-996301"
"Vendor1","2500","-764","4053502","284-431702"
"Vendor3","7300","-1537","1893543","654-956884"
"Vendor3","4700","-1047","4139577","222-269494"
"Vendor3","1400","-1553","8184280","627-170926"
"Vendor2","9300","-1938","9656617","249-821340"
"Vendor3","2100","-1322","4874471","228-487781"
"Vendor2","1600","-456","4351344","738-959804"
"Vendor1","9800","-1334","5149423","362-399064"
"Vendor1","5800","-1030","8777179","588-685879"
"Vendor2","2400","-145","5512217","954-420507"
"Vendor3","3300","-274","6065341","147-701916"
"Vendor3","7800","-910","5454294","161-395988"
"Vendor3","2700","-625","3662041","542-722965"
"Vendor1","2100","-1062","9192098","716-243614"
