"ServerName","DateRun","Risk","Count"
"Server0","10/22/2020","none","74"
"Server0","10/22/2020","low","6"
"Server0","10/22/2020","medium","25"
"Server0","10/22/2020","high","12"
"Server0","10/22/2020","critical","6"
"Server0","10/22/2020","total","124"
"Server1","10/22/2020","none","115"
"Server1","10/22/2020","low","10"
"Server1","10/22/2020","medium","38"
"Server1","10/22/2020","high","19"
"Server1","10/22/2020","critical","10"
"Server1","10/22/2020","total","192"
"Server2","10/22/2020","none","110"
"Server2","10/22/2020","low","9"
"Server2","10/22/2020","medium","37"
"Server2","10/22/2020","high","18"
"Server2","10/22/2020","critical","9"
"Server2","10/22/2020","total","184"
"Server3","10/22/2020","none","50"
"Server3","10/22/2020","low","4"
"Server3","10/22/2020","medium","17"
"Server3","10/22/2020","high","8"
"Server3","10/22/2020","critical","4"
"Server3","10/22/2020","total","84"
"Server4","10/22/2020","none","51"
"Server4","10/22/2020","low","4"
"Server4","10/22/2020","medium","17"
"Server4","10/22/2020","high","8"
"Server4","10/22/2020","critical","4"
"Server4","10/22/2020","total","85"
"Server5","10/22/2020","none","74"
"Server5","10/22/2020","low","6"
"Server5","10/22/2020","medium","25"
"Server5","10/22/2020","high","12"
"Server5","10/22/2020","critical","6"
"Server5","10/22/2020","total","124"
"Server6","10/22/2020","none","84"
"Server6","10/22/2020","low","7"
"Server6","10/22/2020","medium","28"
"Server6","10/22/2020","high","14"
"Server6","10/22/2020","critical","7"
"Server6","10/22/2020","total","140"
"Server7","10/22/2020","none","91"
"Server7","10/22/2020","low","8"
"Server7","10/22/2020","medium","30"
"Server7","10/22/2020","high","15"
"Server7","10/22/2020","critical","8"
"Server7","10/22/2020","total","152"
"Server8","10/22/2020","none","84"
"Server8","10/22/2020","low","7"
"Server8","10/22/2020","medium","28"
"Server8","10/22/2020","high","14"
"Server8","10/22/2020","critical","7"
"Server8","10/22/2020","total","140"
"Server9","10/22/2020","none","106"
"Server9","10/22/2020","low","9"
"Server9","10/22/2020","medium","35"
"Server9","10/22/2020","high","18"
"Server9","10/22/2020","critical","9"
"Server9","10/22/2020","total","177"
"Server10","10/22/2020","none","104"
"Server10","10/22/2020","low","9"
"Server10","10/22/2020","medium","35"
"Server10","10/22/2020","high","17"
"Server10","10/22/2020","critical","9"
"Server10","10/22/2020","total","174"
"Server11","10/22/2020","none","48"
"Server11","10/22/2020","low","4"
"Server11","10/22/2020","medium","16"
"Server11","10/22/2020","high","8"
"Server11","10/22/2020","critical","4"
"Server11","10/22/2020","total","80"
"Server12","10/22/2020","none","40"
"Server12","10/22/2020","low","3"
"Server12","10/22/2020","medium","13"
"Server12","10/22/2020","high","7"
"Server12","10/22/2020","critical","3"
"Server12","10/22/2020","total","66"
"Server13","10/22/2020","none","58"
"Server13","10/22/2020","low","5"
"Server13","10/22/2020","medium","19"
"Server13","10/22/2020","high","10"
"Server13","10/22/2020","critical","5"
"Server13","10/22/2020","total","96"
"Server14","10/22/2020","none","45"
"Server14","10/22/2020","low","4"
"Server14","10/22/2020","medium","15"
"Server14","10/22/2020","high","8"
"Server14","10/22/2020","critical","4"
"Server14","10/22/2020","total","75"
"Server15","10/22/2020","none","106"
"Server15","10/22/2020","low","9"
"Server15","10/22/2020","medium","35"
"Server15","10/22/2020","high","18"
"Server15","10/22/2020","critical","9"
"Server15","10/22/2020","total","176"
"Server16","10/22/2020","none","84"
"Server16","10/22/2020","low","7"
"Server16","10/22/2020","medium","28"
"Server16","10/22/2020","high","14"
"Server16","10/22/2020","critical","7"
"Server16","10/22/2020","total","140"
"Server17","10/22/2020","none","109"
"Server17","10/22/2020","low","9"
"Server17","10/22/2020","medium","36"
"Server17","10/22/2020","high","18"
"Server17","10/22/2020","critical","9"
"Server17","10/22/2020","total","182"
"Server18","10/22/2020","none","44"
"Server18","10/22/2020","low","4"
"Server18","10/22/2020","medium","15"
"Server18","10/22/2020","high","7"
"Server18","10/22/2020","critical","4"
"Server18","10/22/2020","total","73"
"Server19","10/22/2020","none","66"
"Server19","10/22/2020","low","6"
"Server19","10/22/2020","medium","22"
"Server19","10/22/2020","high","11"
"Server19","10/22/2020","critical","6"
"Server19","10/22/2020","total","110"
"Server20","10/22/2020","none","46"
"Server20","10/22/2020","low","4"
"Server20","10/22/2020","medium","15"
"Server20","10/22/2020","high","8"
"Server20","10/22/2020","critical","4"
"Server20","10/22/2020","total","76"
"Server21","10/22/2020","none","65"
"Server21","10/22/2020","low","5"
"Server21","10/22/2020","medium","22"
"Server21","10/22/2020","high","11"
"Server21","10/22/2020","critical","5"
"Server21","10/22/2020","total","108"
"Server22","10/22/2020","none","45"
"Server22","10/22/2020","low","4"
"Server22","10/22/2020","medium","15"
"Server22","10/22/2020","high","8"
"Server22","10/22/2020","critical","4"
"Server22","10/22/2020","total","75"
"Server23","10/22/2020","none","100"
"Server23","10/22/2020","low","8"
"Server23","10/22/2020","medium","33"
"Server23","10/22/2020","high","17"
"Server23","10/22/2020","critical","8"
"Server23","10/22/2020","total","166"
"Server24","10/22/2020","none","76"
"Server24","10/22/2020","low","6"
"Server24","10/22/2020","medium","25"
"Server24","10/22/2020","high","13"
"Server24","10/22/2020","critical","6"
"Server24","10/22/2020","total","126"
"Server25","10/22/2020","none","93"
"Server25","10/22/2020","low","8"
"Server25","10/22/2020","medium","31"
"Server25","10/22/2020","high","16"
"Server25","10/22/2020","critical","8"
"Server25","10/22/2020","total","155"
"Server26","10/22/2020","none","46"
"Server26","10/22/2020","low","4"
"Server26","10/22/2020","medium","15"
"Server26","10/22/2020","high","8"
"Server26","10/22/2020","critical","4"
"Server26","10/22/2020","total","77"
"Server27","10/22/2020","none","101"
"Server27","10/22/2020","low","8"
"Server27","10/22/2020","medium","34"
"Server27","10/22/2020","high","17"
"Server27","10/22/2020","critical","8"
"Server27","10/22/2020","total","168"
"Server28","10/22/2020","none","65"
"Server28","10/22/2020","low","5"
"Server28","10/22/2020","medium","22"
"Server28","10/22/2020","high","11"
"Server28","10/22/2020","critical","5"
"Server28","10/22/2020","total","108"
"Server29","10/22/2020","none","38"
"Server29","10/22/2020","low","3"
"Server29","10/22/2020","medium","13"
"Server29","10/22/2020","high","6"
"Server29","10/22/2020","critical","3"
"Server29","10/22/2020","total","64"
"Server30","10/22/2020","none","38"
"Server30","10/22/2020","low","3"
"Server30","10/22/2020","medium","13"
"Server30","10/22/2020","high","6"
"Server30","10/22/2020","critical","3"
"Server30","10/22/2020","total","64"
"Server31","10/22/2020","none","107"
"Server31","10/22/2020","low","9"
"Server31","10/22/2020","medium","36"
"Server31","10/22/2020","high","18"
"Server31","10/22/2020","critical","9"
"Server31","10/22/2020","total","179"
"Server32","10/22/2020","none","95"
"Server32","10/22/2020","low","8"
"Server32","10/22/2020","medium","32"
"Server32","10/22/2020","high","16"
"Server32","10/22/2020","critical","8"
"Server32","10/22/2020","total","159"
"Server33","10/22/2020","none","53"
"Server33","10/22/2020","low","4"
"Server33","10/22/2020","medium","18"
"Server33","10/22/2020","high","9"
"Server33","10/22/2020","critical","4"
"Server33","10/22/2020","total","88"
"Server34","10/22/2020","none","53"
"Server34","10/22/2020","low","4"
"Server34","10/22/2020","medium","18"
"Server34","10/22/2020","high","9"
"Server34","10/22/2020","critical","4"
"Server34","10/22/2020","total","89"
"Server35","10/22/2020","none","32"
"Server35","10/22/2020","low","3"
"Server35","10/22/2020","medium","11"
"Server35","10/22/2020","high","5"
"Server35","10/22/2020","critical","3"
"Server35","10/22/2020","total","53"
"Server36","10/22/2020","none","77"
"Server36","10/22/2020","low","6"
"Server36","10/22/2020","medium","26"
"Server36","10/22/2020","high","13"
"Server36","10/22/2020","critical","6"
"Server36","10/22/2020","total","129"
"Server37","10/22/2020","none","102"
"Server37","10/22/2020","low","8"
"Server37","10/22/2020","medium","34"
"Server37","10/22/2020","high","17"
"Server37","10/22/2020","critical","8"
"Server37","10/22/2020","total","170"
"Server38","10/22/2020","none","98"
"Server38","10/22/2020","low","8"
"Server38","10/22/2020","medium","33"
"Server38","10/22/2020","high","16"
"Server38","10/22/2020","critical","8"
"Server38","10/22/2020","total","163"
"Server39","10/22/2020","none","104"
"Server39","10/22/2020","low","9"
"Server39","10/22/2020","medium","35"
"Server39","10/22/2020","high","17"
"Server39","10/22/2020","critical","9"
"Server39","10/22/2020","total","174"
"Server40","10/22/2020","none","31"
"Server40","10/22/2020","low","3"
"Server40","10/22/2020","medium","10"
"Server40","10/22/2020","high","5"
"Server40","10/22/2020","critical","3"
"Server40","10/22/2020","total","51"
"Server41","10/22/2020","none","86"
"Server41","10/22/2020","low","7"
"Server41","10/22/2020","medium","29"
"Server41","10/22/2020","high","14"
"Server41","10/22/2020","critical","7"
"Server41","10/22/2020","total","143"
"Server42","10/22/2020","none","80"
"Server42","10/22/2020","low","7"
"Server42","10/22/2020","medium","27"
"Server42","10/22/2020","high","13"
"Server42","10/22/2020","critical","7"
"Server42","10/22/2020","total","133"
"Server43","10/22/2020","none","46"
"Server43","10/22/2020","low","4"
"Server43","10/22/2020","medium","15"
"Server43","10/22/2020","high","8"
"Server43","10/22/2020","critical","4"
"Server43","10/22/2020","total","76"
"Server44","10/22/2020","none","71"
"Server44","10/22/2020","low","6"
"Server44","10/22/2020","medium","24"
"Server44","10/22/2020","high","12"
"Server44","10/22/2020","critical","6"
"Server44","10/22/2020","total","119"
"Server45","10/22/2020","none","68"
"Server45","10/22/2020","low","6"
"Server45","10/22/2020","medium","23"
"Server45","10/22/2020","high","11"
"Server45","10/22/2020","critical","6"
"Server45","10/22/2020","total","113"
"Server46","10/22/2020","none","44"
"Server46","10/22/2020","low","4"
"Server46","10/22/2020","medium","15"
"Server46","10/22/2020","high","7"
"Server46","10/22/2020","critical","4"
"Server46","10/22/2020","total","74"
"Server47","10/22/2020","none","118"
"Server47","10/22/2020","low","10"
"Server47","10/22/2020","medium","39"
"Server47","10/22/2020","high","20"
"Server47","10/22/2020","critical","10"
"Server47","10/22/2020","total","197"
"Server48","10/22/2020","none","79"
"Server48","10/22/2020","low","7"
"Server48","10/22/2020","medium","26"
"Server48","10/22/2020","high","13"
"Server48","10/22/2020","critical","7"
"Server48","10/22/2020","total","132"
"Server49","10/22/2020","none","62"
"Server49","10/22/2020","low","5"
"Server49","10/22/2020","medium","21"
"Server49","10/22/2020","high","10"
"Server49","10/22/2020","critical","5"
"Server49","10/22/2020","total","104"
"Server0","10/23/2020","none","63"
"Server0","10/23/2020","low","5"
"Server0","10/23/2020","medium","21"
"Server0","10/23/2020","high","10"
"Server0","10/23/2020","critical","5"
"Server0","10/23/2020","total","105"
"Server1","10/23/2020","none","115"
"Server1","10/23/2020","low","10"
"Server1","10/23/2020","medium","38"
"Server1","10/23/2020","high","19"
"Server1","10/23/2020","critical","10"
"Server1","10/23/2020","total","192"
"Server2","10/23/2020","none","110"
"Server2","10/23/2020","low","9"
"Server2","10/23/2020","medium","37"
"Server2","10/23/2020","high","18"
"Server2","10/23/2020","critical","9"
"Server2","10/23/2020","total","183"
"Server3","10/23/2020","none","50"
"Server3","10/23/2020","low","4"
"Server3","10/23/2020","medium","17"
"Server3","10/23/2020","high","8"
"Server3","10/23/2020","critical","4"
"Server3","10/23/2020","total","83"
"Server4","10/23/2020","none","50"
"Server4","10/23/2020","low","4"
"Server4","10/23/2020","medium","17"
"Server4","10/23/2020","high","8"
"Server4","10/23/2020","critical","4"
"Server4","10/23/2020","total","84"
"Server5","10/23/2020","none","74"
"Server5","10/23/2020","low","6"
"Server5","10/23/2020","medium","25"
"Server5","10/23/2020","high","12"
"Server5","10/23/2020","critical","6"
"Server5","10/23/2020","total","123"
"Server6","10/23/2020","none","84"
"Server6","10/23/2020","low","7"
"Server6","10/23/2020","medium","28"
"Server6","10/23/2020","high","14"
"Server6","10/23/2020","critical","7"
"Server6","10/23/2020","total","140"
"Server7","10/23/2020","none","86"
"Server7","10/23/2020","low","7"
"Server7","10/23/2020","medium","29"
"Server7","10/23/2020","high","14"
"Server7","10/23/2020","critical","7"
"Server7","10/23/2020","total","143"
"Server8","10/23/2020","none","80"
"Server8","10/23/2020","low","7"
"Server8","10/23/2020","medium","27"
"Server8","10/23/2020","high","13"
"Server8","10/23/2020","critical","7"
"Server8","10/23/2020","total","133"
"Server9","10/23/2020","none","106"
"Server9","10/23/2020","low","9"
"Server9","10/23/2020","medium","35"
"Server9","10/23/2020","high","18"
"Server9","10/23/2020","critical","9"
"Server9","10/23/2020","total","177"
"Server10","10/23/2020","none","95"
"Server10","10/23/2020","low","8"
"Server10","10/23/2020","medium","32"
"Server10","10/23/2020","high","16"
"Server10","10/23/2020","critical","8"
"Server10","10/23/2020","total","158"
"Server11","10/23/2020","none","48"
"Server11","10/23/2020","low","4"
"Server11","10/23/2020","medium","16"
"Server11","10/23/2020","high","8"
"Server11","10/23/2020","critical","4"
"Server11","10/23/2020","total","80"
"Server12","10/23/2020","none","40"
"Server12","10/23/2020","low","3"
"Server12","10/23/2020","medium","13"
"Server12","10/23/2020","high","7"
"Server12","10/23/2020","critical","3"
"Server12","10/23/2020","total","66"
"Server13","10/23/2020","none","58"
"Server13","10/23/2020","low","5"
"Server13","10/23/2020","medium","19"
"Server13","10/23/2020","high","10"
"Server13","10/23/2020","critical","5"
"Server13","10/23/2020","total","97"
"Server14","10/23/2020","none","41"
"Server14","10/23/2020","low","3"
"Server14","10/23/2020","medium","14"
"Server14","10/23/2020","high","7"
"Server14","10/23/2020","critical","3"
"Server14","10/23/2020","total","68"
"Server15","10/23/2020","none","105"
"Server15","10/23/2020","low","9"
"Server15","10/23/2020","medium","35"
"Server15","10/23/2020","high","18"
"Server15","10/23/2020","critical","9"
"Server15","10/23/2020","total","175"
