"ServerName","DateOffset","Risk","Count"
"Server0",-364,"none",82
"Server0",-364,"low",7
"Server0",-364,"medium",27
"Server0",-364,"high",14
"Server0",-364,"critical",7
"Server0",-364,"total",137
"Server1",-364,"none",113
"Server1",-364,"low",9
"Server1",-364,"medium",38
"Server1",-364,"high",19
"Server1",-364,"critical",9
"Server1",-364,"total",188
"Server2",-364,"none",108
"Server2",-364,"low",9
"Server2",-364,"medium",36
"Server2",-364,"high",18
"Server2",-364,"critical",9
"Server2",-364,"total",180
"Server3",-364,"none",54
"Server3",-364,"low",4
"Server3",-364,"medium",18
"Server3",-364,"high",9
"Server3",-364,"critical",4
"Server3",-364,"total",90
"Server4",-364,"none",59
"Server4",-364,"low",5
"Server4",-364,"medium",20
"Server4",-364,"high",10
"Server4",-364,"critical",5
"Server4",-364,"total",99
"Server5",-364,"none",80
"Server5",-364,"low",7
"Server5",-364,"medium",27
"Server5",-364,"high",13
"Server5",-364,"critical",7
"Server5",-364,"total",133
"Server6",-364,"none",84
"Server6",-364,"low",7
"Server6",-364,"medium",28
"Server6",-364,"high",14
"Server6",-364,"critical",7
"Server6",-364,"total",140
"Server7",-364,"none",100
"Server7",-364,"low",8
"Server7",-364,"medium",33
"Server7",-364,"high",17
"Server7",-364,"critical",8
"Server7",-364,"total",167
"Server8",-364,"none",82
"Server8",-364,"low",7
"Server8",-364,"medium",27
"Server8",-364,"high",14
"Server8",-364,"critical",7
"Server8",-364,"total",137
"Server9",-364,"none",105
"Server9",-364,"low",9
"Server9",-364,"medium",35
"Server9",-364,"high",18
"Server9",-364,"critical",9
"Server9",-364,"total",175
"Server10",-364,"none",102
"Server10",-364,"low",8
"Server10",-364,"medium",34
"Server10",-364,"high",17
"Server10",-364,"critical",8
"Server10",-364,"total",170
"Server11",-364,"none",58
"Server11",-364,"low",5
"Server11",-364,"medium",19
"Server11",-364,"high",10
"Server11",-364,"critical",5
"Server11",-364,"total",96
"Server12",-364,"none",46
"Server12",-364,"low",4
"Server12",-364,"medium",15
"Server12",-364,"high",8
"Server12",-364,"critical",4
"Server12",-364,"total",76
"Server13",-364,"none",55
"Server13",-364,"low",5
"Server13",-364,"medium",18
"Server13",-364,"high",9
"Server13",-364,"critical",5
"Server13",-364,"total",92
"Server14",-364,"none",52
"Server14",-364,"low",4
"Server14",-364,"medium",17
"Server14",-364,"high",9
"Server14",-364,"critical",4
"Server14",-364,"total",86
"Server15",-364,"none",110
"Server15",-364,"low",9
"Server15",-364,"medium",37
"Server15",-364,"high",18
"Server15",-364,"critical",9
"Server15",-364,"total",183
"Server16",-364,"none",95
"Server16",-364,"low",8
"Server16",-364,"medium",32
"Server16",-364,"high",16
"Server16",-364,"critical",8
"Server16",-364,"total",159
"Server17",-364,"none",119
"Server17",-364,"low",10
"Server17",-364,"medium",40
"Server17",-364,"high",20
"Server17",-364,"critical",10
"Server17",-364,"total",199
"Server18",-364,"none",52
"Server18",-364,"low",4
"Server18",-364,"medium",17
"Server18",-364,"high",9
"Server18",-364,"critical",4
"Server18",-364,"total",86
"Server19",-364,"none",66
"Server19",-364,"low",6
"Server19",-364,"medium",22
"Server19",-364,"high",11
"Server19",-364,"critical",6
"Server19",-364,"total",110
"Server20",-364,"none",46
"Server20",-364,"low",4
"Server20",-364,"medium",15
"Server20",-364,"high",8
"Server20",-364,"critical",4
"Server20",-364,"total",76
"Server21",-364,"none",65
"Server21",-364,"low",5
"Server21",-364,"medium",22
"Server21",-364,"high",11
"Server21",-364,"critical",5
"Server21",-364,"total",108
"Server22",-364,"none",55
"Server22",-364,"low",5
"Server22",-364,"medium",18
"Server22",-364,"high",9
"Server22",-364,"critical",5
"Server22",-364,"total",92
"Server23",-364,"none",103
"Server23",-364,"low",9
"Server23",-364,"medium",34
"Server23",-364,"high",17
"Server23",-364,"critical",9
"Server23",-364,"total",172
"Server24",-364,"none",76
"Server24",-364,"low",6
"Server24",-364,"medium",25
"Server24",-364,"high",13
"Server24",-364,"critical",6
"Server24",-364,"total",126
"Server25",-364,"none",95
"Server25",-364,"low",8
"Server25",-364,"medium",32
"Server25",-364,"high",16
"Server25",-364,"critical",8
"Server25",-364,"total",159
"Server26",-364,"none",46
"Server26",-364,"low",4
"Server26",-364,"medium",15
"Server26",-364,"high",8
"Server26",-364,"critical",4
"Server26",-364,"total",77
"Server27",-364,"none",101
"Server27",-364,"low",8
"Server27",-364,"medium",34
"Server27",-364,"high",17
"Server27",-364,"critical",8
"Server27",-364,"total",168
"Server28",-364,"none",74
"Server28",-364,"low",6
"Server28",-364,"medium",25
"Server28",-364,"high",12
"Server28",-364,"critical",6
"Server28",-364,"total",124
"Server29",-364,"none",36
"Server29",-364,"low",3
"Server29",-364,"medium",12
"Server29",-364,"high",6
"Server29",-364,"critical",3
"Server29",-364,"total",60
"Server30",-364,"none",38
"Server30",-364,"low",3
"Server30",-364,"medium",13
"Server30",-364,"high",6
"Server30",-364,"critical",3
"Server30",-364,"total",64
"Server31",-364,"none",116
"Server31",-364,"low",10
"Server31",-364,"medium",39
"Server31",-364,"high",19
"Server31",-364,"critical",10
"Server31",-364,"total",194
"Server32",-364,"none",95
"Server32",-364,"low",8
"Server32",-364,"medium",32
"Server32",-364,"high",16
"Server32",-364,"critical",8
"Server32",-364,"total",159
"Server33",-364,"none",52
"Server33",-364,"low",4
"Server33",-364,"medium",17
"Server33",-364,"high",9
"Server33",-364,"critical",4
"Server33",-364,"total",86
"Server34",-364,"none",64
"Server34",-364,"low",5
"Server34",-364,"medium",21
"Server34",-364,"high",11
"Server34",-364,"critical",5
"Server34",-364,"total",106
"Server35",-364,"none",43
"Server35",-364,"low",4
"Server35",-364,"medium",14
"Server35",-364,"high",7
"Server35",-364,"critical",4
"Server35",-364,"total",72
"Server36",-364,"none",84
"Server36",-364,"low",7
"Server36",-364,"medium",28
"Server36",-364,"high",14
"Server36",-364,"critical",7
"Server36",-364,"total",140
"Server37",-364,"none",101
"Server37",-364,"low",8
"Server37",-364,"medium",34
"Server37",-364,"high",17
"Server37",-364,"critical",8
"Server37",-364,"total",169
"Server38",-364,"none",108
"Server38",-364,"low",9
"Server38",-364,"medium",36
"Server38",-364,"high",18
"Server38",-364,"critical",9
"Server38",-364,"total",180
